Statistic,Per 90,Percentile
Non-Penalty Goals,0.27,98
npxG,0.20,97
Shots Total,2.22,98
Assists,0.30,99
xA,0.19,95
npxG+xA,0.39,98
Shot-Creating Actions,2.76,84
,,
Passes Attempted,65.73,84
Pass Completion %,79.4%,25
Progressive Passes,4.88,72
Progressive Carries,5.15,78
Dribbles Completed,1.05,73
Touches (Att Pen),3.51,98
Progressive Passes Rec,6.05,99
,,
Pressures,17.63,42
Tackles,2.29,52
Interceptions,1.44,34
Blocks,1.54,49
Clearances,1.44,51
Aerials won,2.86,95
