Statistic,Per 90,Percentile
Non-Penalty Goals,0.09,68
npxG,0.14,89
Shots Total,1.90,95
Assists,0.48,99
xA,0.13,85
npxG+xA,0.27,91
Shot-Creating Actions,3.33,93
,,
Passes Attempted,62.39,78
Pass Completion %,84.6%,56
Progressive Passes,5.75,85
Progressive Carries,7.00,92
Dribbles Completed,2.20,99
Touches (Att Pen),3.33,97
Progressive Passes Rec,4.97,96
,,
Pressures,16.33,30
Tackles,1.47,11
Interceptions,1.43,33
Blocks,1.12,16
Clearances,1.81,73
Aerials won,2.20,87
